ppm,intensity
-40.7211,-0.773432
-40.5737,-0.595045
-40.4263,-0.200452
-40.279,0.41153
-40.1316,1.00366
-39.9843,1.592
-39.8369,1.9535
-39.6895,1.73515
-39.5422,1.59311
-39.3948,1.80936
-39.2475,1.99446
-39.1001,2.10314
-38.9527,1.90036
-38.8054,1.33867
-38.658,0.750207
-38.5106,0.547105
-38.3633,0.780248
-38.2159,0.877057
-38.0686,0.506384
-37.9212,0.01222
-37.7738,-0.125105
-37.6265,0.309681
-37.4791,1.15445
-37.3318,1.84927
-37.1844,1.84856
-37.037,0.957749
-36.8897,-0.236837
-36.7423,-1.16776
-36.595,-1.36111
-36.4476,-0.394375
-36.3002,0.931499
-36.1529,1.71961
-36.0055,1.88712
-35.8581,1.76348
-35.7108,1.44273
-35.5634,0.878479
-35.4161,0.712653
-35.2687,1.32036
-35.1213,2.27331
-34.974,3.63163
-34.8266,4.69484
-34.6793,4.45025
-34.5319,3.6351
-34.3845,2.66878
-34.2372,1.60774
-34.0898,0.640414
-33.9425,-0.286685
-33.7951,-0.804582
-33.6477,-0.552276
-33.5004,0.0618645
-33.353,0.701738
-33.2056,1.39524
-33.0583,1.44927
-32.9109,0.85927
-32.7636,0.208819
-32.6162,-0.058944
-32.4688,0.500324
-32.3215,1.48412
-32.1741,2.22656
-32.0268,2.55284
-31.8794,2.4757
-31.732,2.1342
-31.5847,2.05887
-31.4373,2.53878
-31.29,3.09058
-31.1426,3.09195
-30.9952,2.68273
-30.8479,2.25249
-30.7005,2.05603
-30.5531,1.97464
-30.4058,1.51046
-30.2584,0.909129
-30.1111,0.683292
-29.9637,0.644386
-29.8163,0.615867
-29.669,1.05367
-29.5216,1.93646
-29.3743,2.59185
-29.2269,2.60909
-29.0795,1.92027
-28.9322,1.21255
-28.7848,1.46963
-28.6375,2.46439
-28.4901,3.36706
-28.3427,3.73131
-28.1954,3.61778
-28.048,3.32929
-27.9006,2.93321
-27.7533,2.3113
-27.6059,1.36973
-27.4586,0.712256
-27.3112,0.466052
-27.1638,0.0446306
-27.0165,-0.583195
-26.8691,-1.3932
-26.7218,-2.52951
-26.5744,-3.44681
-26.427,-3.32069
-26.2797,-2.20508
-26.1323,-0.672425
-25.9849,0.321991
-25.8376,0.50039
-25.6902,0.7526
-25.5429,1.11492
-25.3955,0.844747
-25.2481,0.313298
-25.1008,0.0138609
-24.9534,0.195008
-24.8061,0.821444
-24.6587,0.830943
-24.5113,0.455523
-24.364,0.424074
-24.2166,0.506347
-24.0693,0.626009
-23.9219,0.959919
-23.7745,1.70853
-23.6272,2.4456
-23.4798,2.60752
-23.3324,2.23218
-23.1851,1.73284
-23.0377,1.74397
-22.8904,2.08602
-22.743,1.84053
-22.5956,1.03688
-22.4483,0.350252
-22.3009,0.11771
-22.1536,0.180221
-22.0062,0.124679
-21.8588,-0.0712849
-21.7115,-0.22911
-21.5641,-0.439615
-21.4168,-0.490359
-21.2694,-0.583047
-21.122,-1.39177
-20.9747,-2.44522
-20.8273,-2.96491
-20.6799,-2.96333
-20.5326,-2.92212
-20.3852,-3.12408
-20.2379,-3.34338
-20.0905,-3.64655
-19.9431,-4.22752
-19.7958,-4.16823
-19.6484,-3.07893
-19.5011,-1.86484
-19.3537,-1.12161
-19.2063,-0.95924
-19.059,-1.33636
-18.9116,-2.21272
-18.7643,-2.96292
-18.6169,-2.88301
-18.4695,-1.90363
-18.3222,-0.545389
-18.1748,-0.0317009
-18.0274,-1.05849
-17.8801,-2.43629
-17.7327,-2.93025
-17.5854,-2.66013
-17.438,-2.19225
-17.2906,-1.85581
-17.1433,-1.52376
-16.9959,-0.921766
-16.8486,0.228935
-16.7012,1.11797
-16.5538,1.17142
-16.4065,0.706034
-16.2591,-0.143505
-16.1118,-0.660501
-15.9644,-0.528833
-15.817,-0.468438
-15.6697,-1.03885
-15.5223,-2.22477
-15.3749,-3.18766
-15.2276,-2.88541
-15.0802,-2.02545
-14.9329,-1.43434
-14.7855,-0.474157
-14.6381,1.05811
-14.4908,2.22602
-14.3434,2.82896
-14.1961,3.13765
-14.0487,3.35735
-13.9013,3.888
-13.754,3.7334
-13.6066,2.29892
-13.4593,0.193577
-13.3119,-1.6002
-13.1645,-2.45942
-13.0172,-2.66902
-12.8698,-2.45128
-12.7224,-2.02976
-12.5751,-1.42577
-12.4277,-0.411121
-12.2804,0.508403
-12.133,0.488793
-11.9856,0.152478
-11.8383,0.258394
-11.6909,0.630415
-11.5436,0.815717
-11.3962,0.662596
-11.2488,0.220441
-11.1015,-0.710066
-10.9541,-1.73082
-10.8067,-2.53421
-10.6594,-2.80013
-10.512,-2.26841
-10.3647,-1.68446
-10.2173,-1.53943
-10.0699,-1.81769
-9.92258,-2.85584
-9.77522,-4.2413
-9.62786,-5.02503
-9.4805,-5.16721
-9.33314,-4.70754
-9.18578,-3.47075
-9.03842,-1.69516
-8.89105,-0.160993
-8.74369,0.560267
-8.59633,0.684208
-8.44897,0.53193
-8.30161,0.659664
-8.15425,1.41012
-8.00689,2.25179
-7.85953,2.86141
-7.71216,3.31298
-7.5648,3.38151
-7.41744,2.56302
-7.27008,1.06685
-7.12272,0.20098
-6.97536,0.62734
-6.828,1.47673
-6.68064,1.62328
-6.53328,0.935704
-6.38591,0.548709
-6.23855,0.9873
-6.09119,1.55367
-5.94383,1.54418
-5.79647,0.694463
-5.64911,0.0253638
-5.50175,0.397372
-5.35439,1.23011
-5.20702,1.68666
-5.05966,1.692
-4.9123,1.65477
-4.76494,1.89775
-4.61758,2.42896
-4.47022,3.20007
-4.32286,4.24486
-4.1755,4.9361
-4.02814,4.61353
-3.88077,3.14373
-3.73341,1.49806
-3.58605,0.626448
-3.43869,0.170285
-3.29133,-0.391666
-3.14397,-0.89833
-2.99661,-0.889244
-2.84925,-0.329026
-2.70189,0.392604
-2.55452,0.726884
-2.40716,0.878829
-2.2598,1.08973
-2.11244,1.41857
-1.96508,1.68966
-1.81772,1.26398
-1.67036,0.476029
-1.523,0.323307
-1.37563,0.677489
-1.22827,0.878165
-1.08091,0.925356
-0.933551,0.741961
-0.78619,0.689242
-0.638829,1.25279
-0.491467,2.65512
-0.344106,4.20489
-0.196745,4.75055
-0.049384,4.46299
0.0979772,3.98803
0.245338,3.82088
0.3927,3.97266
0.540061,4.24519
0.687422,4.18997
0.834783,3.37955
0.982144,2.29139
1.12951,1.52277
1.27687,0.972713
1.42423,0.235375
1.57159,-0.35127
1.71895,-0.330657
1.86631,-0.531259
2.01367,-1.41681
2.16103,-2.23631
2.30839,-2.45417
2.45576,-2.04259
2.60312,-1.41192
2.75048,-1.03424
2.89784,-1.29945
3.0452,-1.70207
3.19256,-1.42094
3.33992,-0.570303
3.48728,0.13946
3.63465,-0.00619023
3.78201,-0.34259
3.92937,0.201922
4.07673,1.20648
4.22409,1.80446
4.37145,1.98344
4.51881,1.69798
4.66617,1.13023
4.81353,1.19333
4.9609,1.92261
5.10826,2.60142
5.25562,2.99884
5.40298,3.2986
5.55034,3.36723
5.6977,3.11466
5.84506,2.64347
5.99242,1.47815
6.13979,0.0155142
6.28715,-0.58518
6.43451,-0.377571
6.58187,-0.0796673
6.72923,-0.070116
6.87659,0.0329747
7.02395,0.393644
7.17131,0.563298
7.31867,0.363312
7.46604,-0.199228
7.6134,-0.508377
7.76076,0.103319
7.90812,1.0905
8.05548,1.90074
8.20284,2.62505
8.3502,2.60815
8.49756,1.41558
8.64493,0.188502
8.79229,-0.0778559
8.93965,0.583277
9.08701,1.75807
9.23437,2.83391
9.38173,3.43806
9.52909,3.54895
9.67645,3.36688
9.82381,3.10949
9.97118,3.09169
10.1185,3.5809
10.2659,3.9761
10.4133,3.48285
10.5606,2.64871
10.708,2.56098
10.8553,3.06193
11.0027,3.75563
11.1501,4.47216
11.2974,4.68494
11.4448,4.34944
11.5921,4.28869
11.7395,4.99957
11.8869,5.90376
12.0342,6.37417
12.1816,6.25067
12.329,6.06144
12.4763,6.38677
12.6237,7.01035
12.771,7.55247
12.9184,7.79892
13.0658,7.76793
13.2131,7.44487
13.3605,6.87968
13.5078,7.15219
13.6552,8.54511
13.8026,9.79386
13.9499,10.6049
14.0973,11.4265
14.2446,12.4709
14.392,13.491
14.5394,13.901
14.6867,13.8633
14.8341,14.1149
14.9815,15.3071
15.1288,17.5869
15.2762,20.1396
15.4235,22.2629
15.5709,23.9623
15.7183,25.41
15.8656,26.5488
16.013,26.972
16.1603,26.5902
16.3077,26.2124
16.4551,26.8859
16.6024,28.3131
16.7498,29.6868
16.8972,30.8902
17.0445,32.1693
17.1919,33.353
17.3392,34.5214
17.4866,36.1289
17.634,37.2338
17.7813,37.3369
17.9287,37.2146
18.076,37.1429
18.2234,37.1868
18.3708,37.9305
18.5181,39.4764
18.6655,41.2355
18.8128,43.0009
18.9602,45.3532
19.1076,48.6296
19.2549,52.4137
19.4023,56.1813
19.5497,59.3554
19.697,62.3138
19.8444,65.3953
19.9917,68.4003
20.1391,71.2981
20.2865,74.0449
20.4338,76.7906
20.5812,79.2881
20.7285,81.3509
20.8759,83.3135
21.0233,85.4056
21.1706,87.2524
21.318,88.2675
21.4653,88.4668
21.6127,88.2684
21.7601,87.5164
21.9074,86.4688
22.0548,85.9157
22.2022,85.2722
22.3495,83.6834
22.4969,81.7862
22.6442,80.8106
22.7916,81.0005
22.939,81.6684
23.0863,82.3397
23.2337,82.9928
23.381,83.8867
23.5284,85.7104
23.6758,88.6854
23.8231,92.2378
23.9705,95.821
24.1178,99.6484
24.2652,103.876
24.4126,108.33
24.5599,113.321
24.7073,118.485
24.8547,123.033
25.002,127.125
25.1494,130.811
25.2967,133.004
25.4441,133.47
25.5915,132.686
25.7388,130.543
25.8862,126.94
26.0335,122.129
26.1809,116.86
26.3283,111.414
26.4756,105.744
26.623,100.162
26.7703,95.5183
26.9177,92.3007
27.0651,90.3476
27.2124,89.1803
27.3598,88.2841
27.5072,88.156
27.6545,89.3631
27.8019,91.3269
27.9492,93.1941
28.0966,95.2236
28.244,97.7347
28.3913,100.899
28.5387,104.909
28.686,109.26
28.8334,113.717
28.9808,118.162
29.1281,122.05
29.2755,125.197
29.4228,128.132
29.5702,130.675
29.7176,132.42
29.8649,133.979
30.0123,135.47
30.1597,136.314
30.307,136.614
30.4544,137.114
30.6017,137.852
30.7491,138.308
30.8965,138.197
31.0438,137.405
31.1912,136.024
31.3385,134.385
31.4859,132.628
31.6333,130.142
31.7806,126.811
31.928,123.233
32.0754,119.502
32.2227,115.442
32.3701,110.842
32.5174,106.103
32.6648,102.047
32.8122,98.4549
32.9595,94.3221
33.1069,89.1748
33.2542,83.7313
33.4016,78.8166
33.549,74.341
33.6963,70.4533
33.8437,67.2555
33.991,64.021
34.1384,60.5204
34.2858,57.0671
34.4331,53.4623
34.5805,49.6079
34.7279,46.3913
34.8752,43.9079
35.0226,41.0466
35.1699,37.7043
35.3173,34.479
35.4647,31.7927
35.612,29.9454
35.7594,28.5735
35.9067,27.0263
36.0541,25.5905
36.2015,24.7952
36.3488,23.8085
36.4962,22.1538
36.6435,20.7733
36.7909,20.1877
36.9383,19.9783
37.0856,19.4312
37.233,18.9371
37.3804,18.8688
37.5277,18.4517
37.6751,17.7188
37.8224,17.1164
37.9698,16.7819
38.1172,17.1901
38.2645,18.2104
38.4119,18.7454
38.5592,18.4613
38.7066,17.6099
38.854,16.789
39.0013,16.9625
39.1487,17.4911
39.296,17.2043
39.4434,16.335
39.5908,15.6405
39.7381,15.4942
39.8855,15.8517
40.0329,16.9257
40.1802,19.034
40.3276,21.4155
40.4749,23.1812
40.6223,24.1083
40.7697,24.6836
40.917,26.2071
41.0644,28.7176
41.2117,30.8358
41.3591,32.0291
41.5065,33.0546
41.6538,34.5558
41.8012,36.0184
41.9485,36.7222
42.0959,37.2729
42.2433,38.7212
42.3906,40.8734
42.538,42.3613
42.6854,42.313
42.8327,41.2055
42.9801,39.8097
43.1274,38.5183
43.2748,37.249
43.4222,36.0974
43.5695,35.1606
43.7169,34.1127
43.8642,32.5663
44.0116,30.6573
44.159,28.7497
44.3063,26.9488
44.4537,25.4048
44.6011,23.8516
44.7484,22.8643
44.8958,22.8742
45.0431,23.3588
45.1905,23.6861
45.3379,23.2076
45.4852,22.3349
45.6326,21.4335
45.7799,21.1808
45.9273,21.9353
46.0747,22.9152
46.222,23.5956
46.3694,23.9175
46.5167,24.3718
46.6641,25.2228
46.8115,25.7942
46.9588,25.748
47.1062,26.2843
47.2536,27.6971
47.4009,29.0105
