ppm,intensity
-40.7211,73.6406
-40.5738,79.5475
-40.4264,82.0914
-40.279,82.9204
-40.1317,86.687
-39.9843,91.2903
-39.8369,93.5702
-39.6896,95.4393
-39.5422,98.3289
-39.3949,101.795
-39.2475,104.359
-39.1001,105.269
-38.9528,104.463
-38.8054,102.409
-38.6581,100.756
-38.5107,102.666
-38.3633,108.175
-38.216,112.949
-38.0686,116.44
-37.9213,122.355
-37.7739,126.521
-37.6265,123.084
-37.4792,115.87
-37.3318,110.9
-37.1844,110.765
-37.0371,110.803
-36.8897,107.985
-36.7424,106.404
-36.595,109.197
-36.4476,118.971
-36.3003,134.211
-36.1529,145.437
-36.0056,146.168
-35.8582,140.231
-35.7108,130.664
-35.5635,118.492
-35.4161,107.757
-35.2688,101.587
-35.1214,102.601
-34.974,106.675
-34.8267,106.867
-34.6793,104.584
-34.5319,102.789
-34.3846,101.756
-34.2372,101.41
-34.0899,101.91
-33.9425,100.167
-33.7951,94.4008
-33.6478,89.9852
-33.5004,92.3245
-33.3531,101.367
-33.2057,112.508
-33.0583,122.41
-32.911,129.092
-32.7636,128.554
-32.6162,122.031
-32.4689,117.428
-32.3215,116.722
-32.1742,116.45
-32.0268,116.084
-31.8794,118.153
-31.7321,121.716
-31.5847,122.08
-31.4374,118.176
-31.29,112.682
-31.1426,109.619
-30.9953,110.073
-30.8479,112.501
-30.7006,113.631
-30.5532,113.669
-30.4058,114.43
-30.2585,117.835
-30.1111,126.498
-29.9637,134.688
-29.8164,139.894
-29.669,143.504
-29.5217,146.892
-29.3743,151.646
-29.2269,153.014
-29.0796,151.086
-28.9322,152.911
-28.7849,160.557
-28.6375,173.06
-28.4901,189.141
-28.3428,203.358
-28.1954,212.494
-28.0481,217.256
-27.9007,219.425
-27.7533,219.757
-27.606,217.904
-27.4586,216.03
-27.3112,215.488
-27.1639,213.511
-27.0165,204.717
-26.8692,189.203
-26.7218,177.046
-26.5744,177.748
-26.4271,186.999
-26.2797,194.973
-26.1324,198.745
-25.985,198.667
-25.8376,195.113
-25.6903,188.619
-25.5429,180.74
-25.3956,174.734
-25.2482,173.903
-25.1008,176.3
-24.9535,179.351
-24.8061,183.628
-24.6587,187.71
-24.5114,189.769
-24.364,186.827
-24.2167,178.433
-24.0693,169.107
-23.9219,160.947
-23.7746,153.808
-23.6272,150.694
-23.4799,153.445
-23.3325,158.509
-23.1851,161.365
-23.0378,160.139
-22.8904,154.885
-22.7431,146.626
-22.5957,141.041
-22.4483,140.94
-22.301,140.707
-22.1536,134.398
-22.0062,123.504
-21.8589,116.28
-21.7115,115.322
-21.5642,117.564
-21.4168,123.515
-21.2694,131.587
-21.1221,134.578
-20.9747,132.293
-20.8274,130.393
-20.68,130.344
-20.5326,130.364
-20.3853,131.897
-20.2379,134.501
-20.0906,131.513
-19.9432,124.541
-19.7958,120.104
-19.6485,122.082
-19.5011,128.569
-19.3537,132.484
-19.2064,130.574
-19.059,124.052
-18.9117,118.615
-18.7643,116.74
-18.6169,116.743
-18.4696,116.559
-18.3222,113.002
-18.1749,106.382
-18.0275,99.6398
-17.8801,96.2808
-17.7328,98.4837
-17.5854,105.115
