ppm,intensity
-40.7211,62.3402
-40.5738,68.4613
-40.4264,69.7796
-40.279,67.3577
-40.1317,62.6336
-39.9843,58.2288
-39.8369,57.2311
-39.6896,62.3152
-39.5422,69.0737
-39.3949,72.7762
-39.2475,75.8957
-39.1001,77.6814
-38.9528,73.2485
-38.8054,62.3909
-38.6581,54.3248
-38.5107,55.7842
-38.3633,62.1481
-38.216,71.0461
-38.0686,80.214
-37.9213,86.0384
-37.7739,91.5716
-37.6265,97.8302
-37.4792,103.105
-37.3318,105.603
-37.1844,101.781
-37.0371,96.0957
-36.8897,90.3581
-36.7424,82.9915
-36.595,79.8879
-36.4476,80.8447
-36.3003,82.3678
-36.1529,82.3622
-36.0056,78.8474
-35.8582,72.2725
-35.7108,67.1704
-35.5635,68.4494
-35.4161,73.5272
-35.2688,76.8429
-35.1214,77.7517
-34.974,77.1256
-34.8267,76.3983
-34.6793,79.8927
-34.5319,83.933
-34.3846,83.1092
-34.2372,80.1623
-34.0899,81.0064
-33.9425,85.6437
-33.7951,89.0393
-33.6478,88.7747
-33.5004,87.4699
-33.3531,91.8122
-33.2057,99.2837
-33.0583,104.918
-32.911,109.416
-32.7636,114.202
-32.6162,118.148
-32.4689,119.697
-32.3215,122.018
-32.1742,126.305
-32.0268,132.632
-31.8794,140.605
-31.7321,148.186
-31.5847,156.113
-31.4374,164.398
-31.29,168.591
-31.1426,167.359
-30.9953,162.686
-30.8479,156.757
-30.7006,152.948
-30.5532,152.29
-30.4058,153.645
-30.2585,156.399
-30.1111,158.875
-29.9637,157.752
-29.8164,152.248
-29.669,146.339
-29.5217,148.65
-29.3743,158.729
-29.2269,169.571
-29.0796,175.983
-28.9322,174.377
-28.7849,169.822
-28.6375,164.98
-28.4901,161.547
-28.3428,161.355
-28.1954,159.638
-28.0481,154.695
-27.9007,148.069
-27.7533,141.056
-27.606,138.252
-27.4586,139.729
-27.3112,140.591
-27.1639,144.72
-27.0165,154.859
-26.8692,165.474
-26.7218,174.171
-26.5744,182.647
-26.4271,193.278
-26.2797,206.25
-26.1324,214.527
-25.985,213.315
-25.8376,206.075
-25.6903,195.613
-25.5429,184.511
-25.3956,177.599
-25.2482,178.602
-25.1008,184.724
-24.9535,187.224
-24.8061,182.208
-24.6587,175.31
-24.5114,170.973
-24.364,167.94
-24.2167,162.23
-24.0693,149.59
-23.9219,135.464
-23.7746,126.117
-23.6272,119.579
-23.4799,116.073
-23.3325,115.249
-23.1851,117.272
-23.0378,120.349
-22.8904,120.845
-22.7431,119.319
-22.5957,114.682
-22.4483,109.358
-22.301,105.066
-22.1536,102.3
-22.0062,101.85
-21.8589,103.906
-21.7115,110.537
-21.5642,119.636
-21.4168,123.763
-21.2694,115.356
-21.1221,101.917
-20.9747,93.6154
-20.8274,88.657
-20.68,83.5342
-20.5326,78.1448
-20.3853,77.0579
-20.2379,82.3335
-20.0906,88.3205
-19.9432,87.2231
-19.7958,78
-19.6485,67.3793
-19.5011,60.9495
-19.3537,61.0324
-19.2064,66.9572
-19.059,73.1278
-18.9117,76.3741
-18.7643,73.3208
-18.6169,64.1536
-18.4696,55.9816
-18.3222,52.7043
-18.1749,54.1954
-18.0275,55.7922
-17.8801,57.2713
-17.7328,60.722
-17.5854,64.0364
-17.438,68.032
-17.2907,75.4157
-17.1433,84.702
-16.996,86.8474
-16.8486,78.6001
-16.7012,69.6092
-16.5539,66.6512
-16.4065,68.2493
-16.2592,71.1688
-16.1118,77.5729
-15.9644,88.0782
-15.8171,97.5556
-15.6697,102.779
-15.5224,102.428
-15.375,103.812
-15.2276,110.559
-15.0803,115.557
