ppm,Intensity
-103.945,-4.33746
-103.939,-4.33746
-103.933,-4.34727
-103.926,-4.35708
-103.92,-4.35708
-103.914,-4.3669
-103.908,-4.3669
-103.902,-4.37671
-103.896,-4.38652
-103.89,-4.38652
-103.884,-4.39634
-103.878,-4.40615
-103.872,-4.40615
-103.866,-4.41596
-103.86,-4.42578
-103.854,-4.43559
-103.848,-4.43559
-103.842,-4.4454
-103.835,-4.45522
-103.829,-4.45522
-103.823,-4.46503
-103.817,-4.47484
-103.811,-4.47484
-103.805,-4.48466
-103.799,-4.49447
-103.793,-4.49447
-103.787,-4.50428
-103.781,-4.50428
-103.775,-4.5141
-103.769,-4.5141
-103.763,-4.52391
-103.757,-4.53372
-103.751,-4.53372
-103.744,-4.53372
-103.738,-4.54354
-103.732,-4.54354
-103.726,-4.55335
-103.72,-4.55335
-103.714,-4.55335
-103.708,-4.56316
-103.702,-4.56316
-103.696,-4.56316
-103.69,-4.56316
-103.684,-4.56316
-103.678,-4.56316
-103.672,-4.57298
-103.666,-4.57298
-103.659,-4.57298
-103.653,-4.57298
-103.647,-4.57298
-103.641,-4.56316
-103.635,-4.56316
-103.629,-4.56316
-103.623,-4.56316
-103.617,-4.56316
-103.611,-4.55335
-103.605,-4.55335
-103.599,-4.55335
-103.593,-4.55335
-103.587,-4.54354
-103.581,-4.54354
-103.575,-4.53372
-103.568,-4.53372
-103.562,-4.52391
-103.556,-4.52391
-103.55,-4.5141
-103.544,-4.5141
-103.538,-4.50428
-103.532,-4.50428
-103.526,-4.49447
-103.52,-4.49447
-103.514,-4.48466
-103.508,-4.47484
-103.502,-4.47484
-103.496,-4.46503
-103.49,-4.45522
-103.483,-4.45522
-103.477,-4.4454
-103.471,-4.43559
-103.465,-4.43559
-103.459,-4.42578
-103.453,-4.41596
-103.447,-4.41596
-103.441,-4.40615
-103.435,-4.39634
-103.429,-4.39634
-103.423,-4.38652
-103.417,-4.37671
-103.411,-4.37671
-103.405,-4.3669
-103.399,-4.35708
-103.392,-4.35708
-103.386,-4.34727
-103.38,-4.33746
-103.374,-4.33746
-103.368,-4.32764
-103.362,-4.32764
-103.356,-4.31783
-103.35,-4.31783
-103.344,-4.30802
-103.338,-4.29821
-103.332,-4.29821
-103.326,-4.28839
-103.32,-4.28839
-103.314,-4.28839
-103.308,-4.27858
-103.301,-4.27858
-103.295,-4.26877
-103.289,-4.26877
-103.283,-4.26877
-103.277,-4.25895
-103.271,-4.25895
-103.265,-4.25895
-103.259,-4.24914
-103.253,-4.24914
-103.247,-4.24914
-103.241,-4.23933
-103.235,-4.23933
-103.229,-4.23933
-103.223,-4.23933
-103.216,-4.22951
-103.21,-4.22951
-103.204,-4.22951
-103.198,-4.22951
-103.192,-4.22951
-103.186,-4.2197
-103.18,-4.2197
-103.174,-4.2197
-103.168,-4.2197
-103.162,-4.20989
-103.156,-4.20989
-103.15,-4.20989
-103.144,-4.20989
-103.138,-4.20989
-103.132,-4.20007
-103.125,-4.20007
-103.119,-4.20007
-103.113,-4.20007
-103.107,-4.20007
-103.101,-4.19026
-103.095,-4.19026
-103.089,-4.19026
-103.083,-4.19026
-103.077,-4.18045
-103.071,-4.18045
-103.065,-4.18045
-103.059,-4.18045
-103.053,-4.17063
-103.047,-4.17063
-103.041,-4.17063
-103.034,-4.17063
-103.028,-4.16082
-103.022,-4.16082
-103.016,-4.16082
-103.01,-4.16082
-103.004,-4.15101
-102.998,-4.15101
-102.992,-4.15101
-102.986,-4.15101
-102.98,-4.14119
-102.974,-4.14119
-102.968,-4.14119
-102.962,-4.14119
-102.956,-4.14119
-102.949,-4.13138
-102.943,-4.13138
-102.937,-4.13138
-102.931,-4.13138
-102.925,-4.13138
-102.919,-4.13138
-102.913,-4.12157
-102.907,-4.12157
-102.901,-4.12157
-102.895,-4.12157
-102.889,-4.12157
-102.883,-4.11175
-102.877,-4.11175
-102.871,-4.11175
-102.865,-4.11175
-102.858,-4.11175
-102.852,-4.10194
-102.846,-4.10194
-102.84,-4.10194
-102.834,-4.10194
-102.828,-4.09213
-102.822,-4.09213
-102.816,-4.09213
-102.81,-4.09213
-102.804,-4.08231
-102.798,-4.08231
-102.792,-4.08231
-102.786,-4.0725
-102.78,-4.0725
-102.773,-4.06269
-102.767,-4.06269
-102.761,-4.05287
-102.755,-4.05287
-102.749,-4.04306
-102.743,-4.04306
-102.737,-4.03325
-102.731,-4.02343
-102.725,-4.02343
-102.719,-4.01362
-102.713,-4.00381
-102.707,-3.99399
-102.701,-3.99399
-102.695,-3.98418
-102.689,-3.97437
-102.682,-3.96455
-102.676,-3.95474
-102.67,-3.94493
-102.664,-3.93511
-102.658,-3.9253
-102.652,-3.91549
-102.646,-3.90567
-102.64,-3.88605
-102.634,-3.87624
-102.628,-3.86642
-102.622,-3.85661
-102.616,-3.83698
-102.61,-3.82717
-102.604,-3.80754
-102.598,-3.79773
-102.591,-3.78792
-102.585,-3.76829
-102.579,-3.74866
-102.573,-3.73885
-102.567,-3.71922
-102.561,-3.6996
-102.555,-3.68978
-102.549,-3.67016
-102.543,-3.65053
-102.537,-3.6309
-102.531,-3.61128
-102.525,-3.60146
-102.519,-3.58184
-102.513,-3.56221
-102.506,-3.54258
-102.5,-3.52296
-102.494,-3.50333
-102.488,-3.48371
-102.482,-3.45427
-102.476,-3.43464
-102.47,-3.41501
-102.464,-3.39539
-102.458,-3.37576
-102.452,-3.34632
-102.446,-3.32669
-102.44,-3.30707
-102.434,-3.27763
-102.428,-3.258
-102.422,-3.23837
-102.415,-3.20893
-102.409,-3.18931
-102.403,-3.15987
-102.397,-3.14024
-102.391,-3.12061
-102.385,-3.09117
-102.379,-3.07155
-102.373,-3.04211
-102.367,-3.01267
-102.361,-2.99304
-102.355,-2.9636
-102.349,-2.94398
-102.343,-2.91454
-102.337,-2.8851
-102.33,-2.86547
-102.324,-2.83603
-102.318,-2.8164
-102.312,-2.78696
-102.306,-2.75752
-102.3,-2.7379
-102.294,-2.70846
-102.288,-2.67902
-102.282,-2.64958
-102.276,-2.62995
-102.27,-2.60051
-102.264,-2.57107
-102.258,-2.55145
-102.252,-2.52201
-102.246,-2.49257
-102.239,-2.47294
-102.233,-2.4435
-102.227,-2.41406
-102.221,-2.39443
-102.215,-2.36499
-102.209,-2.34537
-102.203,-2.31593
-102.197,-2.28649
-102.191,-2.26686
-102.185,-2.23742
-102.179,-2.2178
-102.173,-2.18836
-102.167,-2.16873
-102.161,-2.13929
-102.155,-2.11966
-102.148,-2.10004
-102.142,-2.0706
-102.136,-2.05097
-102.13,-2.03134
-102.124,-2.0019
-102.118,-1.98228
-102.112,-1.96265
-102.106,-1.94302
